Status,Step #,Rack Placement/Note,Business Name,Address,City,State,ZIP,Highway/Exit,Notes
Active,1,,1 – Powell Co / Mtn Pkwy/MM 33 near Slade,,,,,I-64 (East of Lexington),
Active,2,,5 - Clark Co / I-64 EB/MM 98 near Winchester,,,,,I-64 (East of Lexington),
Active,3,,7 - Rowan Co / I-64 EB/MM 141 near Morehead,,,,,I-64 (East of Lexington),
Active,4,,8 - Rowan Co / I-64 WB/MM 141 near Morehead,,,,,I-64 (East of Lexington),
Active,5,,9 - Carter Co / I-64 EB/MM 174 near Grayson,,,,,I-64 (East of Lexington),
