Status,Step #,Rack Placement/Note,Business Name,Address,City,State,ZIP,Highway/Exit,Notes
Active,46,Lobby,RED ROOF INN,3555 HANLEY RD,PERRYSBURG,OH,43551.0,I-80/90 & ST RD 280 (EXIT 71),
Active,51,Lobby,RED ROOF INN,1570 REYNOLDS RD,MAUMEE,OH,43537.0,I-80/90 & REYNOLDS RD,
Active,61,Vending,RED ROOF INN,222 BYERS RD,DAYTON,OH,45342.0,I-75 & BYERS RD (EXIT 44),
Active,70,Lobby,RED ROOF INN & SUITES,3510 COMMERCE DR,MIDDLETOWN,OH,45005.0,I-75 & OH 122 & EXIT 32,
Active,45,Vending room,REGENCY INN,3484 HANLEY RD,PERRYSBURG,OH,43551.0,I-80/90 & ST RD 280 (EXIT 71),
Active,62,Lobby,RODEWAY INN,185 BYERS RD,MIAMISBURG,OH,45342.0,I-75 & EXIT 44,
Active,23,Foyer,ROYAL INN,1210 BRUKNER,TROY,OH,45373.0,I-75 & OH 55 (EXIT 73),
Active,64,Lobby,STUDIO 6,8101 SPRINGBORO PK,MIAMISBURG,OH,45342.0,I-75 & EXIT 44 (SPRINGBORO PK),
Active,12,Foyer,SUBURBAN EXTENDED STAY,3845 GERMANY LN,DAYTON,OH,45431.0,I-675 & OH (EXIT 15),
Active,17,Lobby,SUBURBAN STUDIOS,800 N BROAD ST,DAYTON/FAIRBORN,OH,45324.0,I-675 & OH 444,
Active,47,,SUPER 7 BY WYNDHAM,3491 LATCHA RD,MILBURY/TOLEDO,OH,43447.0,I-280,
Active,36,Lobby,SUPER 8 MOTEL,1011 LUNAR DR,WAPAKONETA,OH,45895.0,I-75 & OH 73 US,
Active,63,Lobby,SUPER 8 MOTEL,155 MONARCH LN,MIAMISBURG,OH,45342.0,I-75 Exit 44,
Active,25,Lobby,SUPER 9 MOTEL,30 TROY TOWN DR,TROY,OH,45373.0,I-75 & OH 41(EXIT 74),
Active,14,Lobby,WINGATE,3055 PRESIDENTIAL DR,FAIRBORN,OH,45324.0,I-675 & EXIT 17 & PRESIDENTIAL DR,
Active,11,Lobby/vend,XENIA COUNTRY INN,38 S ALLISON AVE,XENIA,OH,45385.0,I-75 & HWY 35,
Removed,,closed 1'25,BROOKVILLE INN,100 PARKVIEW DR,BROOKVILLE,OH,45309.0,I-70 & EXIT 21,
Removed,,closed 1'25,KNIGHTS INN,8500 CLAUDE THOMAS RD,FRANKLIN,OH,45005.0,I-75 & EXIT 38/CLAUDE THOMAS RD,
Removed,,Rack removed 6'25,QUALITY INN & SUITES,250 BYERS RD,MIAMISBURG,OH,45342.0,I-75 & BYERS RD (EXIT 44),
Removed,,Rack removed 10'25 MOTEL 6,"1944 MIAMISBURG-CENTERVILLE RDDAYTON, OH",45459,I-675 & EXIT 2,,,S,
Removed,,Rack removed 2'26,MOTEL 6,2000 WILLIAMS C. GOODE,FRANKLIN,OH,45005.0,I-75 & OH 123 (EXIT 36),
Removed,,Marriott won't allow 4'26,DAYTON MARRIOTT,1414 S PATTERSON BLVD,DAYTON,OH,45409.0,I-75/SO PATTERSON BLVD (EXIT 51),
Removed,,Foyer 5'26,SUPER 8 MOTEL*,1390 ARROWHEAD DR,TOLEDO,OH,43537.0,I-80/90 & REYNOLDS RD,
Removed,,,,,,,,,UNPARSED
